iteration	particle_num	MCS_value	fitness_value	original_fitness_value
4	72	0.978	inf	inf
4	73	0.988	inf	inf
4	74	0.998	inf	inf
4	75	0.985	inf	inf
4	76	1	inf	inf
4	77	0.995	inf	inf
4	78	0.986	inf	inf
4	79	0.988	inf	inf
5	0	0.998	inf	inf
5	1	0.987	6521.58	6521.58
5	2	0.992	inf	inf
5	3	0.983	inf	inf
5	4	0.98	inf	inf
5	5	0.981	inf	inf
5	6	0.973	inf	inf
5	7	0.982	inf	inf
5	8	0.978	inf	inf
5	9	0.972	inf	inf
5	10	0.989	inf	inf
5	11	0.987	inf	inf
5	12	0.975	inf	inf
5	13	0.986	inf	inf
5	14	0.996	inf	inf
5	15	0.971	inf	inf
5	16	0.977	inf	inf
5	17	0.968	inf	inf
5	18	0.982	inf	inf
5	19	0.985	inf	inf
5	20	0.987	inf	inf
5	21	0.974	inf	inf
5	22	0.976	inf	inf
5	23	0.983	inf	inf
5	24	0.978	inf	inf
5	25	0.984	inf	inf
5	26	0.993	inf	inf
5	27	0.976	6536.69	6536.69
5	28	0.971	inf	inf
5	29	0.984	inf	inf
5	30	0.972	inf	inf
5	31	0.975	inf	inf
5	32	0.982	inf	inf
5	33	0.995	inf	inf
5	34	0.978	inf	inf
5	35	0.968	inf	inf
5	36	0.997	inf	inf
5	37	0.977	inf	inf
5	38	0.982	inf	inf
5	39	0.977	inf	inf
5	40	0.975	inf	inf
5	41	0.978	inf	inf
5	42	0.987	inf	inf
5	43	0.987	inf	inf
5	44	0.983	inf	inf
5	45	0.993	inf	inf
5	46	0.973	inf	inf
5	47	0.997	inf	inf
5	48	0.989	inf	inf
5	49	0.977	inf	inf
5	50	0.987	inf	inf
5	51	0.996	inf	inf
5	52	0.982	inf	inf
5	53	0.993	inf	inf
5	54	0.989	inf	inf
5	55	0.98	inf	inf
5	56	0.965	inf	inf
5	57	0.984	inf	inf
5	58	0.983	inf	inf
5	59	0.984	inf	inf
5	60	0.988	inf	inf
5	61	0.993	inf	inf
5	62	0.985	inf	inf
5	63	0.998	inf	inf
5	64	0.985	inf	inf
5	65	0.991	inf	inf
5	66	0.992	inf	inf
5	67	0.991	inf	inf
5	68	0.992	inf	inf
5	69	0.99	inf	inf
5	70	0.976	inf	inf
5	71	0.997	inf	inf
5	72	0.971	inf	inf
5	73	0.993	inf	inf
5	74	0.999	inf	inf
5	75	0.971	inf	inf
5	76	0.999	inf	inf
5	77	0.988	inf	inf
5	78	0.979	inf	inf
5	79	0.981	inf	inf
6	0	0.999	inf	inf
6	1	0.995	inf	inf
6	2	0.981	inf	inf
6	3	0.992	inf	inf
6	4	0.982	inf	inf
6	5	0.984	inf	inf
6	6	0.984	inf	inf
6	7	0.984	inf	inf
6	8	0.993	inf	inf
6	9	0.986	inf	inf
6	10	0.983	inf	inf
6	11	0.988	inf	inf
6	12	0.979	inf	inf
6	13	0.983	inf	inf
6	14	0.983	inf	inf
6	15	0.986	inf	inf
6	16	0.982	inf	inf
6	17	0.969	inf	inf
6	18	0.988	inf	inf
6	19	0.978	inf	inf
6	20	0.985	inf	inf
6	21	0.975	inf	inf
6	22	0.992	inf	inf
6	23	0.987	inf	inf
6	24	0.996	inf	inf
6	25	0.99	inf	inf
6	26	0.985	inf	inf
6	27	0.977	inf	inf
6	28	0.987	inf	inf
6	29	0.99	inf	inf
6	30	0.963	inf	inf
6	31	0.985	inf	inf
6	32	0.987	inf	inf
6	33	0.997	inf	inf
6	34	0.983	inf	inf
6	35	0.97	inf	inf
6	36	0.984	inf	inf
6	37	0.984	inf	inf
6	38	0.983	inf	inf
6	39	0.977	inf	inf
6	40	0.982	inf	inf
6	41	0.973	inf	inf
6	42	0.969	inf	inf
6	43	0.997	inf	inf
6	44	0.988	inf	inf
6	45	0.988	inf	inf
6	46	0.992	inf	inf
6	47	0.992	inf	inf
6	48	0.982	inf	inf
6	49	0.988	inf	inf
6	50	0.994	inf	inf
6	51	0.987	inf	inf
6	52	0.987	inf	inf
6	53	0.986	inf	inf
6	54	0.984	inf	inf
6	55	0.984	inf	inf
6	56	0.982	inf	inf
6	57	0.985	inf	inf
6	58	0.971	inf	inf
6	59	0.991	inf	inf
6	60	0.991	inf	inf
6	61	0.994	inf	inf
6	62	0.982	inf	inf
6	63	0.992	inf	inf
6	64	0.977	inf	inf
6	65	0.987	inf	inf
6	66	0.986	inf	inf
6	67	0.996	inf	inf
6	68	0.997	inf	inf
6	69	0.978	inf	inf
6	70	0.986	inf	inf
6	71	0.991	inf	inf
6	72	0.986	inf	inf
6	73	0.984	inf	inf
6	74	0.998	inf	inf
6	75	0.969	inf	inf
6	76	0.999	inf	inf
6	77	0.982	inf	inf
6	78	0.968	inf	inf
6	79	0.988	inf	inf
7	0	0.987	inf	inf
7	1	0.99	inf	inf
7	2	0.972	inf	inf
7	3	0.976	inf	inf
7	4	0.981	inf	inf
7	5	0.983	inf	inf
7	6	0.991	inf	inf
7	7	0.991	inf	inf
7	8	0.994	inf	inf
7	9	0.984	inf	inf
7	10	0.984	inf	inf
7	11	0.988	inf	inf
7	12	0.993	inf	inf
7	13	0.982	inf	inf
7	14	0.988	inf	inf
7	15	0.971	inf	inf
7	16	0.973	inf	inf
7	17	0.977	inf	inf
7	18	0.993	inf	inf
7	19	0.991	inf	inf
7	20	0.99	inf	inf
7	21	0.98	6473.09	6473.09
7	22	0.988	inf	inf
7	23	0.981	6550.06	6550.06
7	24	0.997	inf	inf
7	25	0.992	inf	inf
7	26	0.978	inf	inf
7	27	0.983	inf	inf
7	28	0.975	6555.52	6555.52
7	29	0.982	inf	inf
7	30	0.981	inf	inf
7	31	0.982	inf	inf
7	32	0.989	inf	inf
7	33	1	inf	inf
7	34	0.977	inf	inf
7	35	0.982	inf	inf
7	36	0.99	6559.27	6559.27
7	37	0.987	inf	inf
7	38	0.98	inf	inf
7	39	0.975	6535	6535
7	40	0.989	inf	inf
7	41	0.959	inf	inf
7	42	0.979	inf	inf
7	43	0.998	inf	inf
7	44	0.982	6555.82	6555.82
7	45	0.982	6559.17	6559.17
7	46	0.989	inf	inf
7	47	0.994	inf	inf
7	48	0.982	inf	inf
7	49	0.997	inf	inf
7	50	0.997	inf	inf
7	51	0.984	inf	inf
7	52	0.989	6593.07	6593.07
7	53	0.975	6575.31	6575.31
7	54	0.991	inf	inf
7	55	0.984	inf	inf
7	56	0.985	inf	inf
7	57	0.985	6503.34	6503.34
7	58	0.981	inf	inf
7	59	0.996	inf	inf
7	60	0.987	inf	inf
7	61	0.989	inf	inf
7	62	0.987	inf	inf
7	63	0.99	inf	inf
7	64	0.975	inf	inf
7	65	0.994	inf	inf
7	66	0.981	inf	inf
7	67	0.992	inf	inf
7	68	0.99	inf	inf
7	69	0.972	inf	inf
7	70	0.996	inf	inf
7	71	0.977	inf	inf
7	72	0.992	inf	inf
7	73	0.993	6560.05	6560.05
7	74	0.987	inf	inf
7	75	0.961	inf	inf
7	76	0.996	inf	inf
7	77	0.977	inf	inf
7	78	0.976	6577.88	6577.88
7	79	0.987	inf	inf
8	0	0.98	6536.73	6536.73
8	1	0.984	6468.92	6468.92
8	2	0.988	6525.78	6525.78
8	3	0.979	inf	inf
8	4	0.983	6632.89	6632.89
8	5	0.99	6544.39	6544.39
8	6	0.993	6596.3	6596.3
8	7	0.981	6554.64	6554.64
8	8	0.995	inf	inf
8	9	0.99	inf	inf
8	10	0.989	inf	inf
